 -2.949D-04  7.739D-01
 -3.712D-04  7.658D-01
 -4.460D-04  7.617D-01
 -5.374D-04  7.471D-01
 -6.145D-04  7.467D-01
 -7.421D-04  7.210D-01
 -8.100D-04  7.297D-01
 -1.018D-03  6.857D-01
 -1.041D-03  7.115D-01
 -1.425D-03  6.400D-01
 -1.316D-03  6.932D-01
 -2.104D-03  5.835D-01
 -1.640D-03  6.759D-01
 -3.434D-03  5.171D-01
 -2.015D-03  6.610D-01
 -7.035D-03  4.424D-01
 -2.422D-03  6.513D-01
 -1.332D-04  7.830D-01
 -2.053D-04  7.795D-01
 -2.735D-04  7.741D-01
 -3.406D-04  7.699D-01
 -4.142D-04  7.601D-01
 -4.841D-04  7.573D-01
 -5.760D-04  7.400D-01
 -6.458D-04  7.423D-01
 -7.779D-04  7.121D-01
 -8.331D-04  7.256D-01
 -1.051D-03  6.749D-01
 -1.053D-03  7.079D-01
 -1.455D-03  6.270D-01
 -1.312D-03  6.902D-01
 -2.125D-03  5.679D-01
 -1.615D-03  6.736D-01
 -3.429D-03  4.983D-01
 -1.961D-03  6.593D-01
 -6.928D-03  4.191D-01
 -2.333D-03  6.503D-01
 -1.240D-04  7.834D-01
 -1.912D-04  7.798D-01
 -2.534D-04  7.762D-01
 -3.169D-04  7.696D-01
 -3.796D-04  7.660D-01
 -4.519D-04  7.544D-01
 -5.170D-04  7.533D-01
 -6.102D-04  7.329D-01
 -6.724D-04  7.386D-01
 -8.096D-04  7.035D-01
 -8.519D-04  7.223D-01
 -1.080D-03  6.645D-01
 -1.061D-03  7.052D-01
 -1.480D-03  6.145D-01
 -1.306D-03  6.882D-01
 -2.140D-03  5.529D-01
 -1.589D-03  6.722D-01
 -3.414D-03  4.800D-01
 -1.909D-03  6.587D-01
 -6.810D-03  3.963D-01
 -2.250D-03  6.505D-01
 -1.159D-04  7.835D-01
 -1.782D-04  7.807D-01
 -2.365D-04  7.764D-01
 -2.936D-04  7.729D-01
 -3.545D-04  7.651D-01
 -4.134D-04  7.625D-01
 -4.853D-04  7.488D-01
 -5.455D-04  7.499D-01
 -6.408D-04  7.260D-01
 -6.950D-04  7.354D-01
 -8.377D-04  6.952D-01
 -8.670D-04  7.197D-01
 -1.105D-03  6.545D-01
 -1.066D-03  7.033D-01
 -1.500D-03  6.025D-01
 -1.297D-03  6.871D-01
 -2.149D-03  5.384D-01
 -1.561D-03  6.719D-01
 -3.392D-03  4.623D-01
 -1.859D-03  6.591D-01
 -6.683D-03  3.740D-01
 -2.173D-03  6.516D-01
 -1.086D-04  7.838D-01
 -1.669D-04  7.809D-01
 -2.207D-04  7.780D-01
 -2.747D-04  7.728D-01
 -3.283D-04  7.698D-01
 -3.876D-04  7.606D-01
 -4.431D-04  7.594D-01
 -5.152D-04  7.433D-01
 -5.703D-04  7.470D-01
 -6.680D-04  7.194D-01
 -7.142D-04  7.330D-01
 -8.624D-04  6.872D-01
 -8.789D-04  7.179D-01
 -1.127D-03  6.450D-01
 -1.068D-03  7.023D-01
 -1.516D-03  5.911D-01
 -1.286D-03  6.868D-01
 -2.152D-03  5.247D-01
 -1.534D-03  6.724D-01
 -3.364D-03  4.453D-01
 -1.810D-03  6.604D-01
 -6.548D-03  3.522D-01
 -2.100D-03  6.537D-01
 -1.020D-04  7.838D-01
 -1.565D-04  7.816D-01
 -2.071D-04  7.781D-01
 -2.565D-04  7.753D-01
 -3.080D-04  7.692D-01
 -3.586D-04  7.670D-01
 -4.171D-04  7.563D-01
 -4.691D-04  7.567D-01
